instruction	time	count
0x5	0,549159	694904
0x9	0,0609477	73524
0xA	0,774035	1004226
0xD	0,015982	19599
0xE	0,00104201	1187
0x10	1,32548	1722298
0x15	1,2e-05	16
0x18	1,33359	1746309
0x19	1,3e-05	16
0x1D	6,6e-05	83
0x20	1,70203	2195875
0x24	0,00964362	11960
0x25	0,015784	19665
0x26	0,0155159	19488
0x29	3,64021	4904734
0x2A	0,32913	421334
0x2C	0,0350618	43672
0x2D	0,0267935	32527
0x2E	0,00105501	1198
0x30	0,324049	412072
0x38	0,459124	596093
0x39	0,0273586	33445
0x3D	0,0337986	40569
0x40	0,0157419	18382
0x45	0,0151017	18382
0x46	0,0804884	101652
0x48	0,795605	1008034
0x49	0,0251721	31952
0x4A	2,01209	2679008
0x4C	35,5416	97010220
0x4E	1,1e-05	11
0x60	1,59883	2084743
0x65	0,236752	303736
0x68	0,960819	1230298
0x69	0,735465	943193
0x6A	0,126785	165321
0x6C	0,0888853	111132
0x6D	0,0399392	50408
0x75	0,112526	143941
0x78	4e-06	1
0x79	0,40331	513666
0x7D	0,122716	151793
0x7E	0,102886	128674
0x84	0,235315	302598
0x85	2,7896	3692188
0x86	0,480935	614780
0x88	1,12067	1448675
0x8A	0,0790054	102898
0x8C	0,053191	57166
0x8D	1,00774	980252
0x8E	0,0298572	34875
0x90	1,22481	1575067
0x91	0,0299983	38546
0x94	6,1e-05	75
0x95	0,200076	255516
0x98	0,270949	349536
0x99	1,97878	2554892
0x9A	1e-06	1
0x9D	0,553368	691325
0xA0	0,556791	712962
0xA2	0,370065	475381
0xA4	0,4711	604830
0xA5	1,83373	2404444
0xA6	0,500059	641812
0xA8	0,686265	888939
0xA9	1,0647	1362580
0xAA	0,173644	226001
0xAC	0,452339	573545
0xAD	4,39535	5528524
0xAE	0,129745	156579
0xB0	0,662353	842599
0xB1	0,618946	772135
0xB4	0,0498593	63313
0xB5	1,24355	1602638
0xB9	0,875125	1105764
0xBC	0,0373494	46429
0xBD	1,66135	2139016
0xBE	0,305018	389132
0xC0	0,302774	391203
0xC4	7e-06	10
0xC5	0,357576	459088
0xC6	0,112672	142950
0xC8	3,56801	4884351
0xC9	2,02171	2670932
0xCA	1,06843	1393475
0xCC	0,000168	192
0xCD	0,0536113	67585
0xCE	0,07762	91771
0xD0	3,51788	4694340
0xD5	0,0646182	81658
0xD6	0,000500001	616
0xD8	2e-06	1
0xD9	0,0165921	20231
0xDD	0,0480521	58982
0xDE	0,0385935	46634
0xE0	0,28183	361394
0xE5	0,0439122	55641
0xE6	0,0768271	96187
0xE8	0,570299	730638
0xE9	0,202418	260252
0xED	0,117017	147668
0xEE	0,0140145	15243
0xF0	4,30295	5813661
0xF5	0,424821	540048
0xF6	0,000821004	1009
0xF9	0,174075	222422
0xFE	0,000297	337
