instruction, time, count
0x5, 0.0826373, 103899
0x6, 0.00779921, 9465
0x8, 0.000188, 245
0x9, 0.00571164, 7175
0xA, 0.200718, 261104
0x10, 0.0505359, 63864
0x18, 1.77631, 2358016
0x20, 0.832168, 1039966
0x25, 0.0283699, 35809
0x26, 0.930745, 1144448
0x28, 0.000184, 245
0x29, 0.402585, 511568
0x2A, 0.0457611, 58919
0x30, 0.00453389, 5605
0x35, 0.0282859, 35764
0x38, 0.0442974, 57213
0x40, 0.0147887, 17882
0x45, 0.000826004, 1055
0x46, 0.0366952, 46908
0x48, 0.0751559, 87126
0x49, 7.4e-05, 96
0x4A, 1.09187, 1377399
0x4C, 0.777588, 994566
0x4D, 0.0148017, 17881
0x55, 0.028371, 35764
0x60, 0.787943, 1004628
0x65, 1.63853, 2146884
0x66, 0.0285949, 35762
0x68, 0.122153, 157798
0x69, 0.0866237, 109408
0x6A, 0.000186, 245
0x6C, 0.0360891, 44801
0x6D, 0.00476184, 5849
0x76, 0.00161701, 2110
0x78, 6e-06, 1
0x84, 0.106274, 134830
0x85, 1.87956, 2466665
0x86, 0.0967113, 124873
0x88, 3.41513, 4585634
0x8A, 0.319463, 406764
0x8C, 0.000592002, 773
0x8D, 1.02153, 341821
0x8E, 0.063479, 71551
0x90, 0.0192388, 24743
0x91, 3.56689, 4625160
0x94, 0.0279028, 35764
0x95, 1.27067, 1657693
0x98, 0.108119, 137368
0x99, 0.254563, 264328
0x9A, 1e-06, 1
0x9D, 2.67057, 3496622
0xA0, 0.188964, 243835
0xA2, 0.184565, 235921
0xA4, 0.128916, 166092
0xA5, 33.2281, 51802588
0xA6, 0.175682, 224236
0xA8, 0.204245, 264935
0xA9, 0.924917, 1185054
0xAA, 0.278924, 362712
0xAC, 0.000510001, 604
0xAD, 0.81493, 1001058
0xAE, 0.000951004, 1180
0xB0, 0.129371, 164902
0xB1, 2.22717, 2904256
0xB5, 0.65698, 848996
0xB9, 0.100011, 123731
0xBA, 1.4e-05, 18
0xBC, 0.0087554, 10667
0xBD, 2.20834, 2897031
0xC0, 0.0218305, 28288
0xC4, 0.00012, 148
0xC5, 0.0110209, 12883
0xC6, 0.348408, 442438
0xC8, 2.62718, 3527598
0xC9, 1.42041, 1851846
0xCA, 0.40879, 517714
0xCD, 0.0145037, 17143
0xCE, 1.1e-05, 11
0xD0, 6.36616, 8579368
0xD8, 8e-06, 1
0xDD, 0.0086454, 9975
0xDE, 0.0638987, 76810
0xE0, 1.83034, 2432832
0xE5, 0.0150228, 18169
0xE6, 0.0276166, 34268
0xE8, 3.94895, 5343049
0xE9, 0.0371604, 47387
0xEE, 0.0174202, 19306
0xF0, 33.2748, 52918191
0xFE, 0.0441764, 52059
